tick,pod_id,sku,item_class,trigger
26176,67,52,A,v13_fetch
26176,67,53,A,v13_fetch
26176,67,55,A,v13_fetch
26176,67,56,A,v13_fetch
26476,402,775,A,v13_piggyback
26619,8,0,A,v13_piggyback
26619,8,2,A,v13_piggyback
26619,8,1240,B,v13_piggyback
27841,326,531,A,v13_piggyback
27841,326,533,A,v13_piggyback
27909,99,80,A,v13_fetch
27909,99,84,A,v13_fetch
27909,99,87,A,v13_fetch
28249,351,608,A,v13_piggyback
28303,346,586,A,v13_piggyback
28339,397,755,A,v13_piggyback
28339,397,760,A,v13_piggyback
28559,454,1006,A,v13_piggyback
28598,117,106,A,v13_piggyback
28621,366,647,A,v13_piggyback
28712,104,92,A,v13_piggyback
28712,104,93,A,v13_piggyback
28712,104,1645,B,v13_piggyback
