item_code,item_name,order_frequency,total_qty,avg_qty_per_order,std_qty,demand_cv,days_ordered,avg_basket_size,box_length,box_width,box_height,box_volume,item_volume
10001041001,Mountain Dew 激浪汽水 500ml,24,256,10.24,12.965595499886097,1.2661714355357516,15,13.64,42.0,28.0,26.0,30576.0,1274.0
10001043001,雪碧纖維+ Pet 600ml,58,1060,16.307692307692307,12.41587073683703,0.7613505640513274,20,5.661538461538462,45.0,30.0,24.0,32400.0,1350.0
10001044001,黑松CC乳酸菌氣泡飲 510ml,3,16,5.333333333333333,2.3094010767585034,0.4330127018922194,2,17.0,40.0,27.0,25.0,27000.0,1125.0
10002001001,維他露P 250ml,317,9672,30.51104100946372,11.187867999246594,0.36668260502079925,21,11.466876971608833,41.0,28.0,10.0,11480.0,478.3
10002003001,黑松加鹽沙士600 ml PET600加鹽沙士,171,2056,11.953488372093023,12.06600461181172,1.0094128371749105,21,13.30813953488372,43.0,28.0,24.0,28896.0,1204.0
10002005001,蘋果西打330ml,363,5076,13.831062670299728,13.734556740850667,0.9930225224373906,21,14.7574931880109,40.0,27.0,13.0,14040.0,585.0
10002006001,蘋果西打2L,422,1842,4.293706293706293,6.485604657497105,1.510490987006655,21,12.701631701631701,34.0,23.0,31.0,24242.0,4040.3
10002007001,芬達橘子汽水330ml 芬達汽水,200,2652,13.26,11.548125214938548,0.8708993374765119,21,14.04,40.0,28.0,12.0,13440.0,560.0
10002008001,加鹽黑松沙士Can245ml,404,15264,37.78217821782178,28.46184297295752,0.753313978057838,21,6.702970297029703,40.0,27.0,10.0,10800.0,450.0
10002009001,黑松沙士600 ml 黑松沙士,240,4124,16.43027888446215,19.106598847568666,1.1628895030891695,21,10.800796812749004,43.0,28.0,24.0,28896.0,1204.0
10002010001,維大力汽水255 ml,236,7776,32.53556485355649,14.821550245348766,0.45554919092571433,20,8.93723849372385,40.0,27.0,10.0,10800.0,450.0
10002011001,金車麥根沙士PET585ml,8,52,6.5,2.9760952365713798,0.4578608056263661,5,9.0,42.0,28.0,24.0,28224.0,1176.0
10002012001,維他露P 330 ml 維他露P,66,1494,20.465753424657535,19.463699967846715,0.9510375486297257,15,9.273972602739725,41.0,27.0,13.0,14391.0,599.6
10002013001,AW 麥根沙士,4,120,30.0,12.0,0.4,4,2.5,40.0,13.0,13.0,6760.0,563.3
10002014001,維大力汽水Can330ml,144,2526,16.296774193548387,13.4643223572369,0.8261955524036895,21,13.606451612903227,41.0,27.0,13.0,14391.0,599.6
10002017001,黑松沙士2L,205,2593,12.466346153846153,10.466363058247037,0.8395694238778958,21,4.480769230769231,34.0,22.0,31.0,23188.0,3864.7
10002018001,黑松沙士330ml,817,13254,16.08495145631068,13.649494197833585,0.8485878390685735,21,12.947815533980583,41.0,27.0,12.0,13284.0,553.5
10002019001,維大力加鹽沙士Can330 ml,390,9030,23.153846153846153,17.542366581276895,0.7576437393906965,21,9.276923076923078,41.0,27.0,13.0,14391.0,599.6
10002021001,蘋果西打-250ml,477,15072,31.59748427672956,15.369039937999503,0.48640074644544606,20,10.431865828092244,40.0,27.0,9.0,9720.0,405.0
10002025001,黑松沙士1250 ml 黑松沙士,97,301,3.04040404040404,4.208638327271592,1.3842365262454737,21,14.868686868686869,38.0,28.0,30.0,31920.0,2660.0
10002026001,芬達汽水橘子口味600ml,4,60,15.0,6.0,0.4,2,11.25,31.0,22.0,24.0,16368.0,1364.0
10002035001,維大力汽水2L,185,614,3.1487179487179486,4.820856310280044,1.5310537141768872,21,12.882051282051282,34.0,23.0,31.0,24242.0,4040.3
10002037001,七星藍莓汽泡香檳飲料750ml 七星藍莓汽泡香,7,13,1.8571428571428572,1.864454471471609,1.003937023100097,4,15.0,35.0,27.0,32.0,30240.0,2520.0
10002038001,七星紅葡萄氣泡香檳飲料750ml 七星紅葡萄氣泡,8,22,2.4444444444444446,2.185812841434,0.8941961624048181,6,14.555555555555555,35.0,27.0,32.0,30240.0,2520.0
10002039001,七星白葡萄汽泡香檳飲料750 ml,2,24,6.0,5.354126134736337,0.8923543557893895,1,1.0,35.0,27.0,32.0,30240.0,2520.0
10002040001,芬達橘子汽水2L 芬達橘子汽水,84,493,5.6022727272727275,7.542278951804542,1.346289143526977,20,8.875,34.0,23.0,31.0,24242.0,4040.3
10002045001,黑松加鹽沙士2L,259,845,3.2375478927203063,3.890457769511361,1.2016680211153434,21,13.226053639846743,34.0,22.0,30.0,22440.0,3740.0
10002046001,金車麥根沙士can330ml,144,2610,17.635135135135137,10.171420979564214,0.5767702317913806,18,8.202702702702704,43.0,29.0,12.0,14964.0,623.5
10002051001,維他露P 2L,10,42,4.2,1.9888578520235065,0.47353758381512057,3,6.1,34.0,23.0,31.0,24242.0,4040.3
10002069001,金車麥根沙士Pet 2000ml 麥根沙士2000ml,62,171,2.7142857142857144,3.09749415594008,1.1411820574516085,20,12.936507936507937,34.0,23.0,30.0,23460.0,3910.0
10002071001,金車奧利多水Pet585ml 奧利多水585ml,147,920,6.216216216216216,4.408619480250026,0.7092126989967434,21,15.72972972972973,42.0,28.0,25.0,29400.0,1225.0
10002072001,金車奧利多水Pet2000ml,66,192,2.8656716417910446,4.757436037207754,1.660146950483956,18,14.08955223880597,34.0,23.0,30.0,23460.0,3910.0
10002073001,微舒打葡萄can320ml 微舒打葡萄,64,828,12.738461538461538,9.750443776882868,0.7654333882818677,12,15.692307692307692,41.0,27.0,12.0,13284.0,553.5
10002074001,蘋果西打1250ml,105,350,3.3333333333333335,4.018387225919859,1.2055161677759578,21,14.219047619047618,36.0,27.0,28.0,27216.0,2268.0
10002078001,金車冰淇淋汽水Pet 2000ml,8,48,6.0,0.0,0.0,5,7.125,34.0,23.0,30.0,23460.0,3910.0
10002102001,維大力零熱量汽水 330ml,401,10410,25.831265508684865,22.949898169849135,0.8884542711286456,21,8.213399503722083,40.0,27.0,12.0,12960.0,540.0
10002899001,黑松加鹽沙士330 ml CAN330ml黑松加,3,36,12.0,10.392304845413264,0.8660254037844387,3,8.0,41.0,27.0,12.0,13284.0,553.5
10002906001,美粒果蘋果蘇打Pet 500ml 蘋果蘇打500ml,96,734,7.34,6.513730641397977,0.8874292426972721,19,15.21,42.0,29.0,22.0,26796.0,1116.5
10002907001,美粒果蘋果蘇打Can 330ml,224,3408,14.947368421052632,12.910291701228306,0.863716698321612,21,14.600877192982455,40.0,27.0,12.0,12960.0,540.0
10002911001,樹頂蘋果氣泡飲320ml,1,6,6.0,0.0,0.0,1,12.0,40.0,27.0,12.0,12960.0,540.0
10002915001,黑松CC氣泡飲王林蘋果風味 500ml,18,176,9.777777777777779,14.073569535733434,1.4393423388818283,9,9.88888888888889,43.0,27.0,22.0,25542.0,1064.3
10002916001,美粒果蘋果蘇打1250ml 蘋果蘇打 1.25L,13,146,11.23076923076923,2.7735009811261455,0.24695556681260203,10,5.846153846153846,27.0,27.0,30.0,21870.0,1822.5
