item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
14821003001,愛之味珍保玉筍120g,36.0,24.0,19.0,16416.0,12.8,48.0,342.0,PCS,753.0,0.1100048332527791,4.706,3.543,3567,"[3, 6, 9, 12, 30, 33, 36, 39]","[509, 154, 46, 44, 1, 1, 2, 1]",A,336,169.8571,71.3059,0.4198,1.0,0.1762,smooth,0,80,3
14011003001,奇多隨口脆-家常起司,43.0,33.0,20.0,28380.0,2.32,6.0,4730.0,PCS,743.0,0.117441375977067,1.48,1.262,1119,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[573, 115, 29, 16, 9, 4, 1, 1, 2, 4, 1, 1]",A,116,53.2857,38.062,0.7143,1.0,0.5102,erratic,1,29,10
10035035001,愛之味麥仔茶 TP250ml,35.0,20.0,11.0,7700.0,6.57,24.0,320.8,PCS,743.0,0.1149647505874902,28.795,20.983,22806,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 34, 36, 42, 48, 54, 72, 78, 96, 240]","[1, 3, 153, 1, 1, 25, 2, 1, 27, 3, 1, 344, 6, 1, 2, 2, 168, 1, 28, 4, 17, 1]",A,1974,1074.5714,546.4182,0.5085,1.0,0.2586,smooth,1,452,12
14502011001,來一客-京燉肉骨 71g,45.0,33.0,20.0,29700.0,3.0,24.0,1237.5,PCS,720.0,0.1222412959784003,8.468,11.861,6258,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 39, 48, 54, 72, 168]","[408, 191, 5, 7, 4, 1, 2, 93, 4, 1, 2, 1, 15, 1, 3, 1]",A,574,277.1429,180.0262,0.6496,1.0,0.422,smooth,1,139,12
14501010001,來一客-牛肉蔬菜 65g,45.0,34.0,21.0,32130.0,3.0,24.0,1338.8,PCS,720.0,0.1198413359777337,6.763,8.515,5052,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48]","[455, 196, 4, 6, 4, 5, 4, 53, 1, 1, 1, 1, 16]",A,463,196.7143,161.7208,0.8221,1.0,0.6759,erratic,1,119,20
10031013001,統一麥香紅茶TP375ml,40.0,20.0,14.0,11200.0,9.82,24.0,466.7,PCS,713.0,0.1246179230346161,18.692,13.908,13608,"[6, 12, 18, 24, 30, 36, 42, 48, 60, 72, 84, 96]","[255, 100, 13, 286, 2, 3, 2, 55, 1, 9, 1, 1]",A,1260,648.0,371.5594,0.5734,1.0,0.3288,smooth,1,297,11
14840006001,愛之味土豆麵筋170g,42.0,29.0,20.0,24360.0,17.32,48.0,507.5,PCS,708.0,0.129354510758154,4.967,7.462,3561,"[3, 6, 9, 12, 15, 21, 120, 150]","[481, 142, 43, 46, 1, 2, 1, 1]",A,301,155.2857,62.4685,0.4023,1.0,0.1618,smooth,0,71,4
14611010001,得意的一天100％葵花油3.5L,42.0,29.0,33.0,40194.0,20.78,6.0,6699.0,PCS,705.0,0.1317044715921401,1.725,1.579,1218,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]","[469, 143, 36, 18, 8, 17, 4, 4, 1, 1, 5]",A,92,51.2857,17.4159,0.3396,1.0,0.1153,smooth,0,21,16
10034042001,光泉茉莉蜜茶TP250ml,34.0,20.0,11.0,7480.0,6.64,24.0,311.7,PCS,700.0,0.1340377660372327,25.302,15.017,17838,"[6, 12, 18, 24, 30, 48, 96]","[142, 30, 3, 378, 2, 145, 5]",A,1439,849.4286,253.4073,0.2983,1.0,0.089,smooth,0,315,8
10032006001,立頓奶茶TP250ml,34.0,20.0,11.0,7480.0,6.61,24.0,311.7,PCS,694.0,0.136351060815653,27.177,19.371,19758,"[6, 12, 18, 24, 30, 36, 48, 54, 60, 66, 72, 84, 96]","[158, 46, 16, 322, 4, 1, 129, 1, 3, 4, 30, 1, 12]",A,2125,940.8571,719.904,0.7652,1.0,0.5855,erratic,1,536,12
