item_code,item_name,abc_kmeans,distribution,mean_order_freq,std_order_freq,cv,cv_class,full_class
10022010001,康貝特來富飲料100 ml 康貝特來富飲料,C,poisson,0.2857,0.5345,1.8708,2,low demand - intermittent
10022011001,紅牛能量飲料4入 紅牛能量飲料4,A,poisson,2.2381,1.496,0.6684,1,high demand - volatile
10022012001,康貝特200P 康貝特200P,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10022014001,紅牛無糖能量飲料4入 紅牛無糖能量飲,B,poisson,0.8095,0.8997,1.1114,2,medium demand - intermittent
10022015001,保力達水蠻牛維他命B補給飲料,B,poisson,0.619,0.7868,1.271,2,medium demand - intermittent
10022016001,PowerBOMB活力爆發能量飲料 康貝特活力爆發,B,poisson,0.5714,0.7559,1.3229,2,medium demand - intermittent
10022020001,魔爪能量碳酸飲料Can355ml,B,poisson,0.7619,0.8729,1.1456,2,medium demand - intermittent
10022024001,黃金康貝特能量飲料150ml 黃金康貝特,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10022030001,金車奧利多Can240ml,A,poisson,7.0952,2.6637,0.3754,0,high demand - stable
10022908001,白魔爪能量碳酸飲料(超越)Can355ml,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10022910001,魔爪芒果狂歡能量碳酸飲料can355ml 魔爪芒果狂歡,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10022915001,保力達蠻牛EX能量飲料Can250ml,C,poisson,0.2857,0.5345,1.8708,2,low demand - intermittent
10022916001,保力達蠻牛Slim維他命B Can250ml,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10022918001,掠奪者能量飲料can 250ml,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023002001,桂格無糖養氣人蔘60mlx19 桂格無糖養氣人,B,poisson,1.1429,1.069,0.9354,1,medium demand - volatile
10023003001,白蘭氏雙認證雞精 41mlx6 雙認證雞精41x6,B,poisson,0.4762,0.6901,1.4491,2,medium demand - intermittent
10023004001,歐典生機養身黑木耳180ml,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023005001,老協珍人蔘精60mlx14入,B,poisson,0.7143,0.8452,1.1832,2,medium demand - intermittent
10023008001,白蘭氏黑醋栗+金盞花葉黃素精華飲60m 白蘭氏葉黃素飲,B,poisson,0.4762,0.6901,1.4491,2,medium demand - intermittent
10023011001,白蘭氏葉黃素精華凍15Gx21入 葉黃素精華凍,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10023017001,桂格滴雞精52mlx9 滴雞精,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10023020001,老協珍熬雞精14入,A,poisson,5.8095,2.4103,0.4149,0,high demand - stable
10023023001,白蘭氏旭沛人蔘蜆精60ml*15 人參蜆精60ml*1,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023025001,台糖蜆精62mlx19,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023027001,桂格養氣人蔘滋補液60mlx19 桂格養氣人蔘,B,normal,2.0476,1.4302,0.6984,1,medium demand - volatile
10023029001,桂格活靈芝滋補液60mlx19 桂格活靈芝,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10023031001,白蘭氏旭沛蜆精60ml*12 白蘭氏旭沛蜆精,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023032001,天地合補純正官燕窩,C,poisson,0.0952,0.3086,3.2404,2,low demand - intermittent
10023035001,愛健萬丹紅紅豆水Pet530ml,B,poisson,1.1905,1.0911,0.9165,1,medium demand - volatile
10023037001,愛健御白玉薏仁水Pet530ml 愛健御白玉薏仁,C,poisson,0.0952,0.3086,3.2404,2,low demand - intermittent
10023038001,愛健黑豆水530ml,B,poisson,0.9048,0.9512,1.0513,2,medium demand - intermittent
10023041001,天然享活-有機黑木耳露,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10023043001,華佗粉光蔘靈芝雞精禮盒68ml*9 華佗粉光蔘靈芝,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023044001,天地合補葉黃素功能飲60mlx18 天地合補葉黃素,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10023049001,白蘭氏雙認證雞精68mlx19 雙認證68mlx19,B,poisson,0.8095,0.8997,1.1114,2,medium demand - intermittent
10023051001,桂格養氣人蔘雞精雙效滋補18入 桂格養氣人蔘雞,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10023054001,天地合補含鐵玫瑰四物飲12入 含鐵四物飲,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023055001,桂格雙效活靈芝盒裝16瓶 桂格雙效活靈芝,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10023058001,白蘭氏強化型金盞花葉黃素精華飲60ml 強化型葉黃素,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023061001,華陀扶元堂養氣雙蔘飲60mlx6,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10023063001,白蘭氏冬蟲夏草雞精68mlx18 白蘭氏蟲草雞精,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023064001,天地合補青木瓜四物鐵120mlx6 青木瓜四物飲,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10023066001,白蘭氏養蔘飲60mlx18 白蘭氏養蔘飲60,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10023068001,桂格冬蟲夏草養氣人蔘60mlx16,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023073001,白蘭氏兒童學進雞精41mlx6 白蘭氏學進雞精,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10023075001,桂格5X人蔘濃縮精華飲盒裝15ml*18包 5X人蔘濃縮精,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023078001,白蘭氏關鍵活躍雞精69mlx15入,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10023079001,白蘭氏萃雞精膠原蛋白菁萃50ml*9,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10023080001,華陀扶元堂龜鹿雙寶葡萄糖胺飲60mlx6,B,poisson,1.1905,1.0911,0.9165,1,medium demand - volatile
10023083001,白蘭氏雙認證雞精 68mlX12 雙認證雞精68*12,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10023087001,白蘭氏冰糖燕窩68mlx6 白蘭氏冰糖燕窩,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023093001,桂格養氣人蔘60mlX6,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10023100001,桂格5X蜜人蔘濃縮精華飲盒裝15ml*185X蜜人蔘濃縮精,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023102001,白蘭氏冰糖燕窩禮盒70gx5,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10023103001,老協珍熬雞精42mlx7入,B,poisson,0.619,0.7868,1.271,2,medium demand - intermittent
10023104001,老協珍人蔘精60mlx7入 老協珍人蔘精7,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10023106001,李時珍養氣人蔘精華飲35mlx18入 李時珍養氣人蔘,B,poisson,1.5714,1.2536,0.7977,1,medium demand - volatile
10023107001,華佗粉光蔘靈芝雞精68mlx18 粉光蔘雞精18,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023110001,天地合補含鐵玫瑰四物120ml x6 天地合補含鐵,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10023114001,老協珍熬雞精暖薑口味42mlx14入 老協珍熬雞精薑,B,poisson,0.619,0.7868,1.271,2,medium demand - intermittent
