sku_i,sku_j,cooc,n_i,n_j,jaccard
14110009001,14110106001,53,502,286,0.07210884353741497
10032011001,14001074001,20,115,183,0.07194244604316546
10034025001,10035034001,50,395,350,0.07194244604316546
14501014001,14502012001,48,456,260,0.0718562874251497
10032008001,10034025001,49,341,395,0.07132459970887918
14100001001,14104002001,29,97,339,0.07125307125307126
14020006001,14022032001,28,154,269,0.07088607594936709
14000197001,14244016001,43,482,168,0.07084019769357495
14805012001,14821003001,145,1441,753,0.07076622742801367
14831002001,14831011001,25,217,162,0.07062146892655367
14104118001,14131033001,73,451,658,0.07046332046332046
15021001001,15022004001,30,261,196,0.0702576112412178
10032008001,10034019001,57,341,529,0.07011070110701106
10033037001,10035034001,57,521,350,0.07002457002457002
14023056001,14112007001,167,1908,644,0.070020964360587
14503003001,14805012001,254,2447,1441,0.06989543203082003
14501053001,14502004001,29,192,252,0.06987951807228916
14504027001,14621069001,22,171,166,0.06984126984126984
10011001001,10014028001,29,209,236,0.06971153846153846
10032008001,10035034001,45,341,350,0.0696594427244582
14021010001,14023056001,160,561,1908,0.0692940666955392
14021054001,14022032001,24,102,269,0.069164265129683
14120020001,14121074001,24,101,270,0.069164265129683
14500013001,14502078001,49,538,220,0.0691114245416079
10034999001,10035028001,24,253,119,0.06896551724137931
14020026001,14023503001,67,881,159,0.06885919835560124
14831002001,14832012001,22,217,125,0.06875
10031005001,10033037001,75,645,521,0.06874427131072411
10034019001,10034042001,79,529,700,0.06869565217391305
14130017001,14131008001,23,215,143,0.06865671641791045
14501014001,14502009001,107,456,1210,0.0686337395766517
14102249001,14131033001,91,765,658,0.06831831831831832
10040025001,10040042001,23,274,86,0.06824925816023739
10030003001,10030011001,26,259,148,0.06824146981627296
10031001001,10033037001,75,654,521,0.06818181818181818
10032011001,10032047001,42,115,544,0.06807131280388978
10013003001,14506084001,20,234,80,0.06802721088435375
10013003001,14504009001,20,234,80,0.06802721088435375
14810006001,14840006001,79,535,706,0.06798623063683305
14001042001,14001093001,45,461,246,0.06797583081570997
14112014001,14121014001,59,505,422,0.06797235023041474
14131033001,14131075001,64,658,351,0.06772486772486773
14000057001,14011034001,73,791,360,0.06771799628942486
14010040001,14011028001,109,1258,462,0.06765983860955928
14501063001,14503003001,188,521,2447,0.06762589928057554
14011003001,14011031001,67,743,315,0.06760847628657922
10040026001,10040079001,22,249,99,0.06748466257668712
14001093001,14014020001,28,246,197,0.06746987951807229
10034019001,10034036001,52,529,294,0.06744487678339818
14001093001,14101025001,46,246,483,0.06734992679355783
14500000001,14503000001,99,1183,386,0.0673469387755102
14001074001,14621069001,22,183,166,0.0672782874617737
14500013001,14503003001,188,538,2447,0.06721487307829818
10015010001,10035034001,36,222,350,0.06716417910447761
10021026001,10032006001,204,2552,694,0.0670611439842209
14011034001,14014020001,35,360,197,0.06704980842911877
10032010001,10034025001,54,465,395,0.06699751861042183
14000057001,14130007001,75,791,404,0.06696428571428571
10031001001,10035034001,63,654,350,0.0669500531349628
14131025001,14506084001,20,239,80,0.06688963210702341
10002035001,14504027001,22,180,171,0.0668693009118541
14010040001,14503003001,232,1258,2447,0.06680103656780881
14505041001,14505917001,49,489,294,0.0667574931880109
14502077001,14505014001,58,486,442,0.06666666666666667
14501016001,14502022001,22,209,144,0.06646525679758308
14502077001,14502078001,44,486,220,0.06646525679758308
14504027001,14509008001,22,171,182,0.06646525679758308
14102246001,14102250001,64,350,677,0.06645898234683281
14101025001,14131033001,71,483,658,0.06635514018691589
10032011001,14131025001,22,115,239,0.06626506024096386
14130016001,14131008001,21,195,143,0.06624605678233439
14810006001,14821003001,80,535,753,0.06622516556291391
14501011001,14502004001,38,361,252,0.06608695652173913
14831020001,14832021001,60,287,681,0.06607929515418502
14010036001,14010094001,21,219,120,0.0660377358490566
14000073001,14000075001,33,350,183,0.066
14104118001,14131047001,64,451,583,0.06597938144329897
14101048001,14131041001,54,387,489,0.06569343065693431
14001045001,14001047001,49,349,446,0.06568364611260054
14500000001,14501014001,101,1183,456,0.06566970091027308
14001074001,14131025001,26,183,239,0.06565656565656566
14100003001,14104012001,58,501,442,0.0655367231638418
14501063001,14502011001,76,521,715,0.06551724137931035
10032010001,10034019001,61,465,529,0.06538049303322616
14832021001,14840006001,85,681,706,0.065284178187404
10031033001,10033018001,55,256,642,0.06524317912218268
14820028001,14820045001,39,329,308,0.06521739130434782
10034025001,10034042001,67,395,700,0.0651750972762646
14110106001,14110154001,23,286,90,0.06515580736543909
10002006001,10002035001,35,393,180,0.06505576208178439
14112013001,14132015001,78,857,421,0.065
14805012001,14840006001,131,1441,706,0.06498015873015874
10002035001,14509008001,22,180,182,0.06470588235294118
14000032001,14011032001,56,470,452,0.06466512702078522
14502009001,14505005001,90,1210,272,0.06465517241379311
14501063001,14502014001,80,521,799,0.06451612903225806
10034017001,10034036001,27,152,294,0.06443914081145585
10001012001,10002021001,57,466,477,0.06433408577878104
14000057001,14101025001,77,791,483,0.06432748538011696
10030003001,10030016001,22,259,105,0.06432748538011696
14000057001,14011032001,75,791,452,0.0642123287671233
14500013001,14505014001,59,538,442,0.06406080347448426
14244016001,14244021001,20,168,165,0.06389776357827476
14023056001,14131033001,154,1908,658,0.06384742951907131
14112014001,14133003001,60,505,495,0.06382978723404255
14821003001,14832021001,86,753,681,0.06379821958456973
14502009001,14503003001,219,1210,2447,0.0636998254799302
14521156001,14521157001,21,66,285,0.06363636363636363
