tick,total_energy,job_queue_len,stop_and_go,total_turning
0.15,0.0,4,0,0
0.3,16.539789658360114,3,0,1
0.45,33.07957931672023,2,0,2
0.6,49.61936897508034,1,0,3
0.75,66.15915863344046,0,0,4
0.9,113.84575246377293,0,0,5
1.05,113.84575246377293,0,0,5
1.2,113.84575246377293,4,0,5
1.35,161.5323462941054,3,0,6
1.5,162.3108462941054,2,0,6
1.65,180.4076359524655,1,0,7
1.8,719.6080456108255,0,0,8
1.95,722.7220456108255,0,0,8
2.1,727.3930456108255,0,0,8
2.25,734.3995456108255,4,0,8
2.4,743.7415456108255,3,0,8
2.55,772.7373352691856,2,0,9
2.7,790.6428352691858,1,0,9
2.85,825.8666249275457,0,1,10
3.0,880.7442042442658,0,1,12
3.15,905.6562042442661,0,1,12
3.3,935.2392042442659,4,1,12
3.45,979.0264939026262,3,2,13
3.6,1028.7729830809863,2,2,14
3.75,1084.4786717793463,1,2,15
3.9,1139.9155599977064,0,3,16
4.05,1210.8449373944268,0,4,18
4.2,1271.972224652787,5,4,19
4.35,1322.518921772787,5,4,19
4.5,1367.1064193727868,5,5,19
4.65,1427.724007111147,5,5,20
4.8,1483.210504711147,5,5,20
4.95,1524.471004711147,5,7,20
5.1,1644.2765944297087,5,7,22
5.25,1681.6445944297088,10,9,22
5.4,1756.7631737464294,10,9,24
5.55,1798.8021737464292,10,10,24
5.7,1857.3809634047889,10,11,25
5.85,1921.4092530631492,10,11,26
6.0,1970.454753063149,10,12,26
6.15,2036.0400427215093,15,13,27
6.3,2103.9608323798693,15,13,28
6.45,2161.5698323798692,15,13,28
6.6,2219.1788323798696,15,14,28
6.75,2295.663122038229,15,14,29
6.9,2360.0098215582298,15,14,29
7.05,2424.087720598229,15,16,29
7.2,3083.58518881659,20,17,30
7.35,3171.4502765549496,20,17,31
7.5,3245.6207741549497,20,17,31
7.65,3324.9719712749497,20,17,31
7.8,3409.5038679149493,20,18,31
7.95,4052.8662640749494,20,18,31
8.1,4151.65205975495,20,18,31
8.25,4254.84005495495,25,19,31
8.4,5065.71191015495,25,19,31
8.55,5168.89990535495,25,19,31
8.7,5273.644900554949,25,19,31
8.85,5372.16189575495,25,20,31
9.0,5541.403422123163,25,23,33
9.15,6945.038046981523,30,23,34
9.3,7035.7700421815225,30,24,34
9.45,7138.370827039882,30,25,35
9.6,7240.971611898244,30,25,36
9.75,7390.161676266273,30,26,37
9.9,7490.426961124634,30,27,38
10.05,7591.470745982994,30,27,39
10.2,7752.946428610575,34,27,40
10.35,7840.564423810575,34,27,40
10.5,7927.403919010575,34,27,40
10.65,8011.907914210574,34,27,40
10.8,8098.696791340574,34,27,40
10.95,8262.356073131286,34,28,41
11.1,8376.897164019647,34,28,42
11.25,8480.504677299647,34,28,42
11.4,8592.053902629648,34,28,42
11.55,8716.073218809646,34,28,42
11.7,8844.100361979648,34,28,42
11.85,8967.15717189965,34,29,42
12.0,10032.809677239646,34,30,42
12.15,10170.932576318006,34,31,43
12.3,10344.436440257861,34,33,44
12.45,10539.796793771475,34,34,46
12.6,11184.999588221475,34,36,46
12.75,11804.184703959836,34,36,47
12.9,11906.395479249839,34,37,47
13.05,12069.204466917865,34,38,48
13.2,12193.179887906226,34,38,49
13.35,12285.296523206225,34,39,49
13.5,12456.997273953808,34,39,50
13.65,12547.825709733806,34,39,50
13.8,12912.984879056987,34,39,51
13.95,13000.699314836987,34,39,51
14.1,13071.677292926986,34,40,51
14.25,13220.5729761577,34,40,52
14.4,13477.542194715405,34,41,53
14.55,13583.312268643765,34,41,54
14.7,13675.689934993763,34,42,54
14.85,13796.175651882122,34,42,55
15.0,13908.575839992123,34,43,55
15.15,14040.548480080486,34,44,56
15.3,14228.302611920688,34,44,57
15.45,14365.050449810687,34,45,57
15.6,15049.529769950688,34,45,57
15.75,15200.480001320691,34,45,57
15.9,15341.315166620687,34,46,57
16.05,15545.306608203213,34,46,58
16.2,15704.48195676321,34,46,58
16.35,15857.65310850321,34,47,58
16.5,16074.934144963065,34,47,59
16.65,16231.773152743068,34,47,59
16.8,16390.75230373306,34,47,59
16.95,16548.121719133065,34,47,59
17.1,16713.289727143067,34,47,59
17.25,16877.199570163066,34,48,59
17.4,17131.36298714865,34,48,61
17.55,17290.756502548647,34,50,61
17.7,18209.137509736225,34,51,62
17.85,18402.926350664595,34,51,63
18.0,18574.18523368459,34,53,63
18.15,19819.45466845459,34,54,63
18.3,20016.70412872295,34,54,64
18.45,20172.19239229295,34,56,64
18.6,20484.869639825734,34,57,66
18.75,20657.9301708941,34,57,67
18.9,20816.163176344096,34,58,67
19.05,20966.292370474097,34,59,67
19.2,21184.352093548147,34,60,68
19.35,21774.25162841814,34,60,68
19.5,22160.480823149435,34,60,69
19.65,22344.49679882943,34,60,69
19.8,22533.52738105443,34,60,69
19.95,22897.20620895245,34,60,70
20.1,23103.533597597452,34,60,70
20.25,23312.900553857446,34,60,70
20.4,23535.26980692245,34,60,70
20.55,23726.68421064244,34,62,70
20.7,24000.812279059668,34,62,71
20.85,24220.59575215967,34,62,71
21.0,24447.73173736967,34,62,71
21.15,24677.89600194467,34,63,71
21.3,24972.793986644527,34,64,72
21.45,25285.87033259814,34,64,73
21.6,25546.697073058145,34,64,73
21.75,25819.91606215314,34,65,73
21.9,26117.69683966151,34,65,74
22.05,26403.5647099165,34,65,74
22.2,26692.502462576504,34,65,74
22.35,26989.462213991505,34,65,74
22.5,27279.588806216503,34,66,74
22.65,27621.0863020844,34,66,75
22.8,27919.0083884894,34,66,75
22.95,28221.289693429408,34,67,75
23.1,28548.31188849276,34,68,76
23.25,29606.586766442764,34,68,76
23.4,29940.918316937765,34,68,76
23.55,30290.063796017763,34,69,76
23.7,31243.01298998276,34,69,76
23.85,31610.414122792765,34,69,76
24.0,31987.58362448276,34,69,76
24.15,32354.96791055276,34,70,76
24.3,32803.98308816323,34,70,77
24.45,33186.98043306823,34,70,77
24.6,33554.094774263234,34,71,77
24.75,33987.76642762205,34,71,78
24.9,34367.39324120705,34,71,78
25.05,34742.98239568205,34,72,78
25.2,35141.748036745405,34,72,79
25.35,35525.38572904041,34,72,79
25.5,35987.96589110353,34,72,80
25.65,36387.35545656853,34,72,80
25.8,36785.042862923525,34,72,80
25.95,37175.58957923353,34,73,80
26.1,37571.49444299189,34,74,81
26.25,38013.18306789912,34,75,82
26.4,39097.150838099114,34,76,82
26.55,39540.746041854465,34,76,83
26.7,39913.98836915445,34,76,83
26.85,40291.28373093946,34,76,83
27.0,40673.41062720946,34,76,83
27.15,41053.587201924456,34,76,83
27.3,41434.75618508446,34,76,83
27.45,41831.571702579466,34,76,83
27.6,42222.66737037946,34,76,83
27.75,42609.24892928446,34,76,83
27.9,42989.26254059446,34,76,83
28.05,43350.36952425946,34,78,83
28.2,43834.918945722224,34,78,85
28.35,44184.88845926722,34,80,85
28.5,45136.40896934269,34,80,86
28.65,45492.837230287696,34,81,86
28.8,45911.0861302408,34,82,87
28.95,46323.39912228962,34,82,88
29.1,46675.01075702462,34,82,88
29.25,47017.17172872963,34,83,88
29.4,48080.99765959463,34,83,88
29.55,48417.90624749962,34,84,88
29.7,48792.62158611504,34,85,89
29.85,49084.20665138005,34,86,89
30.0,49835.650416185046,34,86,89
30.15,50105.48481425005,34,88,89
30.3,50616.43643254404,34,88,91
30.45,50859.18717371904,34,89,91
30.6,51114.268654244035,34,89,91
30.75,51384.39933383903,34,89,91
30.9,51657.84039784403,34,90,91
31.05,52011.61524426125,34,90,92
31.2,52327.91553586627,34,90,92
31.35,52665.70022431625,34,90,92
31.5,53016.99131167626,34,90,92
31.65,53395.74322360627,34,90,92
31.8,53808.063240553114,34,91,93
31.95,54179.3923573931,34,91,93
32.1,54558.477903283114,34,91,93
32.25,54942.80781442312,34,91,93
32.4,55337.30182156312,34,91,93
32.55,55715.587256293125,34,92,93
32.7,56178.11327118581,34,92,94
32.85,56553.97729844081,34,94,94
33.0,57045.57579307233,34,94,96
33.15,57383.86358714733,34,96,96
33.3,57886.525681340376,34,96,98
33.45,58240.14494301539,34,96,98
33.6,58615.34713628039,34,96,98
33.75,58982.355227795386,34,96,98
33.9,59354.28381299038,34,96,98
34.05,59727.044038595384,34,96,98
34.2,60089.90982503037,34,97,98
34.35,60499.1374280585,34,98,99
34.5,60910.89645914392,34,98,100
34.65,61232.78033180392,34,98,100
34.8,61555.987794593915,34,98,100
34.95,61843.05741194391,34,101,100
35.1,62320.4372763428,34,101,103
35.25,62622.6844985528,34,102,103
35.4,62915.74506265279,34,103,103
35.55,63263.13309044183,34,104,104
35.7,63558.36781820185,34,104,104
35.85,63858.60887705185,34,104,104
36.0,64139.23678058184,34,105,104
36.15,64503.65318604218,34,106,105
36.3,64810.819991087184,34,106,105
36.45,65111.07420658718,34,107,105
36.6,65369.765077802185,34,108,105
36.75,65638.80317157217,34,108,105
36.9,65906.44109416718,34,109,105
37.05,66183.33067183718,34,110,105
37.2,66481.66031856218,34,110,105
37.35,66804.36354690217,34,110,105
37.5,67148.04942883717,34,110,105
37.65,67513.24572508717,34,110,105
37.8,67845.17571207217,34,111,105
37.95,68201.27659819716,34,111,105
38.1,68571.19842837217,34,111,105
38.25,68947.94029222717,34,111,105
38.4,69314.67985573718,34,111,105
38.55,69684.84378384217,34,111,105
38.7,70064.11409892216,34,111,105
38.85,70422.60701971716,34,112,105
39.0,70836.96735172243,34,113,106
39.15,71214.55487749056,34,115,107
39.3,71682.96439759119,34,115,109
39.45,71996.65220668119,34,117,109
39.6,72368.64224628,34,117,110
39.75,72692.00674808999,34,117,110
39.9,73005.85992614999,34,118,110
40.05,73378.09222220683,34,118,111
40.2,73707.09174056684,34,118,111
40.35,74045.14044950684,34,118,111
40.5,74372.57504273686,34,118,111
40.65,74709.31613636686,34,118,111
40.8,75003.17583071686,34,120,111
40.95,75373.9206003972,34,120,112
41.1,75677.16360974219,34,120,112
41.25,75983.6233577322,34,121,112
41.4,76257.85016178718,34,123,112
41.55,76542.47818515719,34,123,112
41.7,76839.65351879218,34,123,112
41.85,77152.9026820572,34,123,112
42.0,77471.1953264322,34,124,112
42.15,77863.2508283802,34,125,113
42.3,78259.43934644274,34,125,114
42.45,78608.87987702276,34,125,114
42.6,78962.12311541273,34,126,114
42.75,79328.74288334274,34,126,114
42.9,79706.53661747274,34,126,114
43.05,80073.35763543774,34,127,114
43.2,80445.37622301774,34,127,114
43.35,80811.12425000274,34,128,114
43.5,81188.21864201274,34,128,114
43.65,81567.92928447775,34,128,114
43.8,81959.21436132773,34,128,114
43.95,82332.06539895774,34,129,114
44.1,82778.6306602376,34,129,115
44.25,83167.1003696876,34,129,115
44.4,83561.11784919258,34,129,115
44.55,83946.1802821226,34,129,115
44.7,84285.84761712258,34,132,115
44.85,84782.5450096092,34,132,117
45.0,85142.85921558418,34,132,117
45.15,85511.75012491917,34,132,117
45.3,85887.1673476692,34,132,117
45.45,86237.5704078642,34,133,117
45.6,86569.34826816418,34,134,117
45.75,86901.36733890418,34,134,117
45.9,87238.5925194042,34,134,117
46.05,87576.71100529919,34,134,117
46.2,87914.6260302192,34,134,117
46.35,88216.77374455919,34,136,117
46.5,88577.72062931301,34,136,118
46.65,88896.92768421801,34,136,118
46.8,89226.16153886302,34,136,118
46.95,89572.52141259803,34,136,118
47.1,89917.29721010302,34,136,118
47.25,90258.281159873,34,136,118
47.4,90605.822788823,34,136,118
47.55,90958.407260513,34,136,118
47.7,91314.73141265301,34,136,118
47.85,91669.576827398,34,136,118
48.0,92036.95827972803,34,136,118
48.15,92401.97787983302,34,137,118
48.3,92739.49239764303,35,139,118
48.45,93058.05017576301,35,140,118
48.6,93458.7786745056,35,140,119
48.75,93778.50789271558,35,142,119
48.9,94189.25141180327,35,142,120
49.05,94529.0644041533,35,142,120
49.2,94868.40762624827,35,142,120
49.35,95209.29849077328,35,142,120
49.5,95554.03235048328,35,143,120
49.65,95868.48871812828,35,145,120
49.8,96234.63576719191,35,146,121
49.95,96603.92381003236,35,147,122
50.1,96900.25590360737,35,147,122
50.25,97207.18622370735,35,147,122
50.4,97512.49345694236,35,147,122
50.55,97821.93637800736,35,147,122
50.7,98130.45018267736,35,147,122
50.85,98437.48096820238,35,147,122
51.0,98756.11787306237,35,147,122
51.15,99082.24431381738,35,147,122
51.3,99392.98317269239,35,148,122
51.45,99694.73646000739,35,148,122
51.6,99978.8629347524,35,150,122
51.75,100383.40970018713,35,150,123
51.9,100693.29275401215,35,151,123
52.05,101017.03544333717,35,151,123
52.2,101347.94062849213,35,151,123
52.35,101697.96259736714,35,151,123
52.5,102062.20115177713,35,151,123
52.65,102438.76567333213,35,152,123
52.8,102818.19461557212,35,152,123
52.95,103197.19171607713,35,152,123
53.1,103551.29005886713,35,153,123
53.25,103900.11438334214,35,153,123
53.4,104261.58557266212,35,153,123
53.55,104595.59801600715,35,154,123
53.7,104922.30784130716,35,154,123
53.85,105238.58800090215,35,154,123
54.0,105547.15894747214,35,155,123
54.15,105854.01360515713,35,156,123
54.3,106217.63366835257,35,157,124
54.45,106589.78298064828,35,157,125
54.6,106883.89845895828,35,158,125
54.75,107238.1400398669,35,159,126
54.9,107492.68243249688,35,160,126
55.05,107751.16663531688,35,160,126
55.2,108030.6709064419,35,160,126
55.35,108290.1284522419,35,162,126
55.5,108669.19206040361,35,162,128
55.65,108926.3863665736,35,162,128
55.8,109194.5250281536,35,162,128
55.95,109467.19161700361,35,162,128
56.1,109709.28074216862,35,164,128
56.25,110013.71770396666,35,164,129
56.4,110238.77446359165,35,164,129
56.55,110461.24033629164,35,165,129
56.7,110652.46262956664,35,167,129
56.85,110893.67203307424,35,170,130
57.0,111194.06752120353,35,170,132
57.15,111360.35063704354,35,171,132
57.3,111545.52894436353,35,171,132
57.45,111736.5888503235,35,171,132
57.6,111941.20129688852,35,171,132
57.75,112131.95262101853,35,172,132
57.9,112323.52913179353,35,173,132
58.05,112597.55335648212,35,173,133
58.2,112817.92317242714,35,173,133
58.35,113047.97903087715,35,173,133
58.5,113294.05426288216,35,173,133
58.65,113562.04502503214,35,173,133
58.8,113841.26744023216,35,173,133
58.95,114133.60706662215,35,173,133
59.1,114434.31994318214,35,173,133
59.25,114749.39152045216,35,173,133
59.4,115069.56207031215,35,173,133
59.55,115356.86818817716,35,175,133
59.7,115707.6074183493,35,176,134
59.85,116051.60024220464,35,178,135
60.0,116491.50557609664,35,178,137
60.15,116747.18011792161,35,179,137
60.3,117005.23111663164,36,179,137
60.45,117264.01034759662,36,179,137
60.6,117518.44753373663,36,179,137
60.75,117777.0459269366,36,179,137
60.9,118023.85912244662,36,180,137
61.05,118330.15528153209,36,181,138
61.2,118646.8696298275,36,181,139
61.35,118887.60094200251,36,181,139
61.5,119123.1289470175,36,181,139
