tick,pod_id,sku,item_class,trigger
27462,202,227,A,v13_fetch
27654,114,101,A,v13_fetch
27680,240,305,A,v13_fetch
27714,48,35,A,v13_fetch
27724,144,142,A,v13_fetch
27782,138,135,A,v13_piggyback
27782,138,137,A,v13_piggyback
28033,192,2061,B,v13_piggyback
28052,2,0,A,v13_fetch
28090,208,235,A,v13_fetch
28255,285,417,A,v13_fetch
28314,265,375,A,v13_piggyback
28488,128,1761,B,v13_fetch
28499,136,1797,B,v13_fetch
28545,370,664,A,v13_fetch
28545,370,3016,B,v13_fetch
28632,51,31,A,v13_piggyback
28733,140,135,A,v13_fetch
28733,140,137,A,v13_fetch
28733,140,138,A,v13_fetch
28733,140,1813,B,v13_fetch
