tick,pod_id,sku,item_class,trigger
498,122,1730,B,v13_piggyback
1153,150,1863,B,v13_piggyback
1519,141,1820,B,v13_piggyback
1790,321,513,A,v13_piggyback
1872,150,1863,B,v13_fetch
2238,30,1328,B,v13_piggyback
2599,30,1328,B,v13_piggyback
2913,235,2270,B,v13_piggyback
2993,150,1863,B,v13_piggyback
3775,251,2349,B,v13_piggyback
3980,76,1527,B,v13_piggyback
4678,4,1228,B,v13_piggyback
4915,150,1863,B,v13_fetch
5086,478,1143,A,v13_piggyback
5262,150,1863,B,v13_fetch
5385,141,1820,B,v13_piggyback
5811,363,644,A,v13_piggyback
5984,122,1730,B,v13_piggyback
6214,409,3243,B,v13_piggyback
6448,482,3696,B,v13_piggyback
6492,55,1432,B,v13_piggyback
6601,349,2894,B,v13_piggyback
7124,61,1457,B,v13_piggyback
7231,474,1123,A,v13_piggyback
7252,475,1123,A,v13_piggyback
7417,349,2894,B,v13_piggyback
7538,150,1863,B,v13_fetch
8183,246,324,A,v13_piggyback
9817,145,1839,B,v13_piggyback
9828,103,1642,B,v13_piggyback
9997,470,1097,A,v13_piggyback
10259,61,1457,B,v13_piggyback
10414,470,1097,A,v13_piggyback
10594,365,646,A,v13_piggyback
10730,298,457,A,v13_piggyback
11162,428,880,A,v13_piggyback
11640,278,2480,B,v13_piggyback
11731,273,385,A,v13_piggyback
11808,265,375,A,v13_piggyback
11933,179,2001,B,v13_piggyback
12068,328,540,A,v13_fetch
12210,177,1990,B,v13_piggyback
12478,179,2001,B,v13_piggyback
12644,10,1250,B,v13_piggyback
12914,471,1105,A,v13_piggyback
13447,108,1663,B,v13_piggyback
13590,178,1996,B,v13_piggyback
14078,251,2349,B,v13_piggyback
14092,346,586,A,v13_piggyback
14156,253,2362,B,v13_piggyback
14505,346,586,A,v13_piggyback
14507,273,385,A,v13_piggyback
14541,179,2001,B,v13_fetch
14691,479,1150,A,v13_piggyback
14777,82,1548,B,v13_fetch
15014,145,140,A,v13_piggyback
15056,121,1721,B,v13_piggyback
15356,273,385,A,v13_piggyback
15430,369,3014,B,v13_piggyback
16035,273,385,A,v13_piggyback
16072,70,55,A,v13_piggyback
16367,426,864,A,v13_piggyback
16424,273,385,A,v13_piggyback
16451,236,2276,B,v13_piggyback
16632,265,2420,B,v13_piggyback
16632,265,375,A,v13_piggyback
16740,266,2420,B,v13_piggyback
17386,250,332,A,v13_piggyback
17778,475,1119,A,v13_piggyback
17778,475,1123,A,v13_piggyback
17968,482,1171,A,v13_piggyback
18198,249,332,A,v13_piggyback
18345,305,466,A,v13_piggyback
18538,315,499,A,v13_piggyback
18676,288,425,A,v13_piggyback
18703,436,920,A,v13_piggyback
18775,305,466,A,v13_piggyback
19076,377,691,A,v13_piggyback
19299,265,2420,B,v13_piggyback
19342,82,1548,B,v13_piggyback
19459,434,896,A,v13_piggyback
19493,184,2021,B,v13_piggyback
19686,338,562,A,v13_piggyback
19898,82,1548,B,v13_piggyback
20134,270,384,A,v13_piggyback
20209,249,332,A,v13_piggyback
20560,9,0,A,v13_piggyback
20560,9,1247,B,v13_piggyback
20770,69,55,A,v13_piggyback
21484,358,624,A,v13_piggyback
21607,469,1084,A,v13_piggyback
21794,365,624,A,v13_piggyback
21794,365,646,A,v13_piggyback
21794,365,647,A,v13_piggyback
21896,358,624,A,v13_piggyback
22098,365,624,A,v13_piggyback
22098,365,646,A,v13_piggyback
22098,365,647,A,v13_piggyback
22484,328,540,A,v13_piggyback
22507,365,624,A,v13_piggyback
22713,385,718,A,v13_piggyback
22825,346,585,A,v13_piggyback
22896,328,540,A,v13_piggyback
22929,360,624,A,v13_piggyback
23053,1,0,A,v13_piggyback
23053,1,1221,B,v13_piggyback
23170,343,579,A,v13_piggyback
23613,328,540,A,v13_piggyback
23744,153,1881,B,v13_piggyback
23996,328,540,A,v13_piggyback
24471,179,190,A,v13_piggyback
24471,179,2001,B,v13_piggyback
24663,77,1531,B,v13_piggyback
24889,305,466,A,v13_piggyback
24973,10,0,A,v13_piggyback
24973,10,1250,B,v13_piggyback
25153,352,608,A,v13_piggyback
25153,352,2906,B,v13_piggyback
25211,77,1531,B,v13_piggyback
25263,350,604,A,v13_piggyback
25286,305,466,A,v13_piggyback
26060,77,1531,B,v13_piggyback
26150,140,135,A,v13_fetch
26150,140,1813,B,v13_fetch
26532,298,457,A,v13_piggyback
26738,335,554,A,v13_piggyback
26756,388,732,A,v13_piggyback
26762,77,1531,B,v13_piggyback
26828,103,1642,B,v13_piggyback
27208,321,513,A,v13_piggyback
27222,77,1531,B,v13_piggyback
27644,350,602,A,v13_piggyback
27644,350,604,A,v13_piggyback
27874,141,135,A,v13_piggyback
27874,141,140,A,v13_piggyback
27874,141,1820,B,v13_piggyback
27879,225,272,A,v13_piggyback
27894,7,0,A,v13_piggyback
28318,141,135,A,v13_piggyback
28318,141,1820,B,v13_piggyback
28348,364,624,A,v13_piggyback
28348,364,648,A,v13_piggyback
28383,243,311,A,v13_piggyback
28513,118,96,A,v13_piggyback
28513,118,108,A,v13_piggyback
28571,140,135,A,v13_piggyback
28663,321,513,A,v13_piggyback
28688,119,96,A,v13_piggyback
28731,18,0,A,v13_piggyback
