tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
707,105,1650,B,v13_piggyback
722,120,1721,B,v13_piggyback
1164,208,2138,B,v13_piggyback
1704,179,2001,B,v13_fetch
2130,179,2001,B,v13_fetch
2143,74,1516,B,v13_piggyback
2517,74,1516,B,v13_piggyback
3147,179,2001,B,v13_piggyback
3773,408,3242,B,v13_piggyback
3822,428,880,A,v13_piggyback
4151,20,1287,B,v13_piggyback
4416,21,1287,B,v13_fetch
5737,155,1890,B,v13_piggyback
5799,27,1317,B,v13_piggyback
6425,162,1926,B,v13_piggyback
6858,60,1454,B,v13_piggyback
6922,406,788,A,v13_piggyback
7559,320,2724,B,v13_piggyback
7685,468,1081,A,v13_piggyback
7720,152,1876,B,v13_piggyback
7813,419,841,A,v13_piggyback
8239,309,481,A,v13_piggyback
8461,303,466,A,v13_fetch
8723,40,1367,B,v13_piggyback
8761,306,466,A,v13_piggyback
9041,303,466,A,v13_piggyback
9372,302,466,A,v13_piggyback
10014,476,1133,A,v13_piggyback
10444,50,1411,B,v13_piggyback
10468,192,2061,B,v13_piggyback
10489,336,2820,B,v13_fetch
10738,343,579,A,v13_piggyback
10979,60,1454,B,v13_piggyback
11040,152,1876,B,v13_piggyback
11178,21,1290,B,v13_piggyback
11969,333,2798,B,v13_piggyback
12284,351,604,A,v13_piggyback
13242,10,1251,B,v13_piggyback
13288,103,1642,B,v13_piggyback
13356,210,2147,B,v13_piggyback
13530,318,506,A,v13_piggyback
13825,213,2161,B,v13_piggyback
14028,276,2469,B,v13_piggyback
14579,303,466,A,v13_piggyback
14582,351,604,A,v13_piggyback
14759,78,1535,B,v13_piggyback
14810,55,1432,B,v13_piggyback
14949,433,903,A,v13_piggyback
15043,330,540,A,v13_piggyback
15107,236,295,A,v13_piggyback
15112,83,1547,B,v13_piggyback
15193,474,1123,A,v13_piggyback
15275,255,2372,B,v13_piggyback
16410,82,1547,B,v13_piggyback
16849,260,356,A,v13_fetch
17744,128,1761,B,v13_piggyback
18193,261,356,A,v13_fetch
18299,18,1283,B,v13_piggyback
18430,98,84,A,v13_fetch
18531,96,84,A,v13_fetch
18550,175,1984,B,v13_piggyback
18885,97,84,A,v13_piggyback
19421,268,374,A,v13_fetch
19425,238,2289,B,v13_fetch
19443,346,586,A,v13_fetch
19452,362,635,A,v13_fetch
19463,416,819,A,v13_fetch
19494,164,1933,B,v13_piggyback
19541,83,1547,B,v13_fetch
19580,286,2525,B,v13_fetch
19619,100,84,A,v13_fetch
19697,94,84,A,v13_fetch
19702,304,466,A,v13_fetch
19851,183,2021,B,v13_piggyback
19990,200,2099,B,v13_fetch
20016,341,568,A,v13_fetch
20210,100,84,A,v13_piggyback
20226,83,1547,B,v13_piggyback
20234,321,515,A,v13_fetch
20512,280,405,A,v13_fetch
20703,192,2061,B,v13_piggyback
21041,260,355,A,v13_piggyback
21270,261,355,A,v13_piggyback
21541,438,935,A,v13_piggyback
22115,300,460,A,v13_fetch
22225,155,1888,B,v13_fetch
22423,351,608,A,v13_piggyback
22626,256,348,A,v13_piggyback
22955,255,2372,B,v13_piggyback
22958,93,1594,B,v13_piggyback
22983,152,1876,B,v13_piggyback
23181,203,227,A,v13_fetch
23183,410,806,A,v13_fetch
23372,111,99,A,v13_fetch
23730,98,84,A,v13_fetch
23732,443,941,A,v13_fetch
24017,272,385,A,v13_fetch
24064,260,356,A,v13_fetch
24082,351,604,A,v13_fetch
24094,450,993,A,v13_fetch
24318,157,161,A,v13_fetch
24429,44,1385,B,v13_fetch
24474,303,466,A,v13_fetch
24531,105,1650,B,v13_piggyback
24697,235,2272,B,v13_piggyback
24714,96,84,A,v13_fetch
24732,164,1933,B,v13_fetch
24764,304,466,A,v13_fetch
24766,351,608,A,v13_piggyback
24833,83,1547,B,v13_piggyback
25293,303,466,A,v13_piggyback
25459,362,635,A,v13_piggyback
25554,0,0,A,v13_fetch
25681,43,1380,B,v13_piggyback
25990,146,140,A,v13_piggyback
26312,1,0,A,v13_fetch
26344,198,219,A,v13_fetch
27096,2,0,A,v13_fetch
27103,3,0,A,v13_fetch
27107,70,55,A,v13_fetch
27245,308,481,A,v13_fetch
27252,262,2406,B,v13_fetch
27373,363,2976,B,v13_piggyback
27382,416,819,A,v13_fetch
27403,40,1366,B,v13_fetch
27415,6,1233,B,v13_fetch
27500,242,312,A,v13_piggyback
27575,351,604,A,v13_fetch
27773,163,1926,B,v13_fetch
27815,303,466,A,v13_fetch
27899,330,539,A,v13_piggyback
27899,330,540,A,v13_piggyback
27923,255,2372,B,v13_fetch
27962,235,2272,B,v13_fetch
27966,278,2480,B,v13_fetch
27968,351,604,A,v13_piggyback
28132,290,428,A,v13_fetch
28137,363,624,A,v13_piggyback
28187,303,466,A,v13_piggyback
28247,152,1876,B,v13_fetch
28259,342,568,A,v13_piggyback
28296,359,630,A,v13_piggyback
28296,359,2954,B,v13_piggyback
28614,235,2272,B,v13_fetch
