item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
14361106001,358,4,48,4,1
14000075001,359,3,33,3,1
14001074001,360,4,48,3,1
10032049001,361,2,288,22,11
14023083001,362,2,72,3,2
14509008001,363,3,36,2,1
14620006001,364,3,36,3,1
11111017001,365,10,40,3,1
10033011001,366,6,288,25,5
14831021001,367,1,192,8,8
14311004001,368,4,48,4,1
10002035001,369,5,60,5,1
14010060001,370,3,36,3,1
14131105001,371,3,36,3,1
14804010001,372,2,192,15,8
14850010001,373,18,18,2,1
14001012001,374,4,32,3,1
14104042001,375,2,30,3,2
10033066001,376,7,336,26,4
14804004001,377,3,288,19,7
10033070001,378,8,384,31,4
14000060001,379,3,36,3,1
14204061001,380,3,36,3,1
10024007001,381,2,528,27,14
14010173001,382,2,40,4,2
10040023001,383,12,480,40,4
14023198001,384,7,28,3,1
14131020001,385,4,32,3,1
14000014001,386,6,30,3,1
14521158001,387,1,96,5,5
14023027001,388,5,30,3,1
14804002001,389,4,288,23,6
14105102001,390,3,36,2,1
14121136001,391,2,48,2,1
14504027001,392,2,180,16,8
10002003001,393,6,288,24,4
12121064001,394,1,23,2,2
14851058001,395,14,28,3,1
14000003001,396,3,21,7,3
14244016001,397,4,48,3,1
14505021001,398,2,180,16,8
14505099001,399,3,108,6,2
15022026001,400,3,648,52,18
12201068001,401,2,20,7,4
11103090001,402,11,66,6,1
14621069001,403,1,48,3,3
10014033001,404,3,432,27,9
14244021001,405,4,48,4,1
14244020001,406,2,240,16,8
12221012001,407,5,75,6,2
10001014001,408,3,360,24,8
14500014001,409,3,24,6,2
14014018001,410,3,36,3,1
10031016001,411,3,576,41,14
10032003001,412,3,360,29,10
14020015001,413,3,36,3,1
11103022001,414,10,60,5,1
14010027001,415,2,144,10,5
14506072001,416,1,108,3,3
14130010001,417,4,24,2,1
14831011001,418,1,192,6,6
14244017001,419,3,30,3,1
10013005001,420,3,576,48,16
14222068001,421,1,40,3,3
14833009001,422,1,168,7,7
14130009001,423,3,24,2,1
14501047001,424,3,270,16,6
14121062001,425,3,36,3,1
14003009001,426,2,40,3,2
14000040001,427,3,36,2,1
14506056001,428,2,24,2,1
14023503001,429,1,36,7,7
10031911001,430,4,576,42,11
10002017001,431,12,144,14,2
14110029001,432,2,32,2,1
14012019001,433,2,36,2,1
10032064001,434,2,384,34,17
14505020001,435,2,180,15,8
14020006001,436,4,24,2,1
14506001001,437,2,48,2,1
12122032001,438,1,48,2,2
10000003001,439,4,384,30,8
10034017001,440,3,432,38,13
14121115001,441,2,40,3,2
14104101001,442,3,36,3,1
14130042001,443,2,24,1,1
14510004001,444,5,65,5,1
11040005001,445,2,48,4,2
14000043001,446,1,36,3,3
14805004001,447,2,240,14,7
10022030001,448,2,240,22,11
14615070001,449,5,60,22,5
14102040001,450,2,30,3,2
10030014001,451,5,240,20,4
10030011001,452,4,192,14,4
12100039001,453,1,36,2,2
14001046001,454,2,48,3,2
10002071001,455,3,144,11,4
10000010001,456,8,96,7,1
14204892001,457,4,24,2,1
