tick,total_energy,job_queue_len,stop_and_go,total_turning
16567.05,31991127.275984794,20,48244,37095
16567.2,31991362.944490183,20,48244,37096
16567.35,31991552.213869497,20,48244,37096
16567.5,31991748.20231883,20,48244,37096
16567.65,31991958.077518813,20,48244,37096
16567.8,31992176.80408474,20,48244,37096
16567.95,31992394.82187313,20,48244,37096
16568.1,31992612.130883977,20,48244,37096
16568.25,31992830.215670075,20,48245,37096
16568.4,31993113.626272857,20,48246,37097
16568.55,31993418.34016166,20,48246,37099
16568.7,31993643.98582539,20,48246,37099
16568.85,31993877.70342087,20,48246,37099
16569.0,31994188.210345283,20,48246,37100
16569.15,31994443.07217204,20,48246,37100
16569.3,31994709.891065918,21,48246,37100
16569.45,31994962.248551585,21,48247,37100
16569.6,31995295.897865377,21,48247,37101
16569.75,31995567.05814237,21,48247,37101
16569.9,31995841.07188654,21,48247,37101
16570.05,31996114.524939448,21,48247,37101
16570.2,31996370.41052484,21,48249,37101
16570.35,31996642.441955537,21,48249,37102
16570.5,31996892.539284434,21,48249,37102
16570.65,31997147.490646467,21,48249,37102
16570.8,31997391.432041112,21,48251,37102
16570.95,31997697.848594826,21,48251,37104
16571.1,31997948.05678991,21,48251,37104
16571.25,31998177.417447858,21,48253,37104
16571.4,31998564.609076507,21,48253,37106
16571.55,31998818.74143319,21,48253,37106
16571.7,31999074.60312641,21,48254,37106
16571.85,31999353.404945843,21,48254,37107
16572.0,31999626.74377723,21,48254,37107
16572.15,31999893.237515014,21,48255,37107
16572.3,32000228.258991823,21,48255,37108
16572.45,32000495.356129393,21,48255,37108
16572.6,32000765.717392903,21,48255,37108
16572.75,32001015.205654547,21,48257,37108
16572.9,32001837.313785836,21,48258,37109
16573.05,32002067.432656076,21,48258,37109
16573.2,32002295.67843196,21,48258,37109
16573.35,32002533.20041681,21,48258,37109
16573.5,32002775.348816965,21,48258,37109
16573.65,32003009.01428408,21,48259,37109
16573.8,32003865.456391677,21,48259,37109
16573.95,32004085.151224766,20,48260,37109
16574.1,32004427.572698947,20,48260,37110
16574.25,32004643.017793953,20,48261,37110
16574.4,32004869.877022415,20,48261,37110
16574.55,32005075.910830926,20,48263,37110
16574.7,32005474.44816258,20,48263,37113
16574.85,32005679.536887668,20,48264,37113
16575.0,32005884.15307103,20,48265,37113
16575.15,32006623.35162454,20,48266,37113
16575.3,32006854.055105995,20,48266,37114
16575.45,32007072.417256076,20,48266,37114
16575.6,32007331.018542014,20,48267,37115
16575.75,32007590.44940888,20,48267,37116
16575.9,32007803.878118828,20,48267,37116
16576.05,32008029.156135935,20,48267,37116
16576.2,32008253.734149203,20,48267,37116
16576.35,32008477.612158626,20,48267,37116
16576.5,32008709.72665133,20,48267,37116
16576.65,32008950.077627335,20,48267,37116
16576.8,32009211.21439764,20,48267,37116
16576.95,32009470.612146854,20,48268,37116
16577.1,32009813.40367419,20,48268,37117
16577.25,32010103.02059803,20,48268,37117
16577.4,32010387.28563021,20,48269,37117
16577.55,32010745.598957997,20,48269,37118
16577.7,32011048.614427358,20,48269,37118
16577.85,32011343.481819894,20,48270,37118
16578.0,32011694.924858425,20,48270,37119
16578.15,32011987.499475043,20,48270,37119
16578.3,32012266.08179197,20,48271,37119
16578.45,32012601.603754442,20,48272,37120
16578.6,32012891.52330123,20,48272,37121
16578.75,32013160.1090865,20,48273,37121
16578.9,32013428.466537718,20,48273,37121
16579.05,32013694.46335896,20,48273,37121
16579.2,32013958.099550214,20,48273,37121
16579.35,32014234.363548648,20,48273,37121
16579.5,32014512.10605092,20,48273,37121
16579.65,32014791.327057026,20,48273,37121
16579.8,32015068.450986557,20,48273,37121
16579.95,32015339.893999174,20,48273,37121
16580.1,32015630.401122194,20,48273,37121
16580.25,32015882.953217294,20,48275,37121
16580.4,32016206.54276187,20,48275,37122
16580.55,32016468.15739104,20,48275,37122
16580.7,32016741.014074024,20,48275,37122
16580.85,32017021.834570665,20,48275,37122
16581.0,32017303.451200336,20,48275,37122
16581.15,32017585.863963038,20,48275,37122
16581.3,32017880.075843,20,48275,37122
16581.45,32018159.976238277,20,48276,37122
