tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
707,105,1650,B,v13_piggyback
1212,208,2138,B,v13_piggyback
3295,408,3242,B,v13_piggyback
3397,74,1516,B,v13_piggyback
3489,179,2001,B,v13_piggyback
4503,468,1081,A,v13_piggyback
5047,155,1890,B,v13_piggyback
5432,179,2001,B,v13_fetch
5529,152,1876,B,v13_piggyback
5712,179,2001,B,v13_fetch
5812,60,1454,B,v13_piggyback
5882,428,880,A,v13_piggyback
5989,20,1287,B,v13_piggyback
6265,21,1287,B,v13_piggyback
6833,331,540,A,v13_piggyback
7655,210,2147,B,v13_piggyback
8333,210,2147,B,v13_fetch
8563,336,2820,B,v13_piggyback
8903,61,1459,B,v13_piggyback
9421,40,1367,B,v13_piggyback
9820,307,466,A,v13_piggyback
10141,307,466,A,v13_piggyback
10221,276,2469,B,v13_piggyback
10652,304,466,A,v13_piggyback
10859,302,466,A,v13_fetch
11042,210,2147,B,v13_fetch
11584,359,630,A,v13_piggyback
11697,302,466,A,v13_piggyback
12016,360,635,A,v13_piggyback
12064,302,466,A,v13_piggyback
12204,331,540,A,v13_piggyback
12265,359,630,A,v13_piggyback
12566,302,466,A,v13_piggyback
12618,406,788,A,v13_piggyback
12651,331,540,A,v13_piggyback
13186,476,1133,A,v13_piggyback
13195,359,630,A,v13_piggyback
13381,302,466,A,v13_piggyback
13521,474,1123,A,v13_piggyback
13756,303,466,A,v13_piggyback
13910,351,604,A,v13_piggyback
13938,304,466,A,v13_piggyback
13963,210,2147,B,v13_fetch
14148,303,466,A,v13_piggyback
14236,260,356,A,v13_piggyback
14303,304,466,A,v13_piggyback
14557,21,1290,B,v13_piggyback
14858,341,568,A,v13_piggyback
15282,306,466,A,v13_piggyback
15369,380,699,A,v13_piggyback
15450,406,788,A,v13_piggyback
15594,304,466,A,v13_piggyback
15913,304,466,A,v13_piggyback
16264,341,568,A,v13_piggyback
16519,321,515,A,v13_piggyback
16751,341,568,A,v13_piggyback
17474,278,2480,B,v13_piggyback
17511,298,457,A,v13_piggyback
17582,24,1300,B,v13_fetch
17822,179,2001,B,v13_piggyback
18053,155,1888,B,v13_piggyback
18129,266,374,A,v13_fetch
18347,346,586,A,v13_piggyback
18516,18,1283,B,v13_piggyback
18814,330,539,A,v13_piggyback
18814,330,540,A,v13_piggyback
19047,96,84,A,v13_piggyback
19133,309,481,A,v13_piggyback
19152,192,2061,B,v13_piggyback
19258,98,84,A,v13_piggyback
19365,351,604,A,v13_piggyback
19365,351,608,A,v13_piggyback
19392,163,1926,B,v13_piggyback
19446,255,2372,B,v13_piggyback
19711,351,604,A,v13_piggyback
19953,105,1650,B,v13_piggyback
20032,128,1761,B,v13_piggyback
20099,351,604,A,v13_piggyback
20114,417,819,A,v13_piggyback
20433,359,630,A,v13_piggyback
20433,359,2954,B,v13_piggyback
20451,416,819,A,v13_piggyback
20518,304,466,A,v13_piggyback
20955,304,466,A,v13_piggyback
21151,10,1251,B,v13_piggyback
21153,346,586,A,v13_piggyback
21180,98,84,A,v13_piggyback
21486,308,481,A,v13_piggyback
21486,308,482,A,v13_piggyback
21490,92,84,A,v13_fetch
21907,301,460,A,v13_piggyback
21908,341,567,A,v13_piggyback
22482,277,2476,B,v13_piggyback
22615,370,3016,B,v13_fetch
22641,155,1888,B,v13_piggyback
22641,155,1890,B,v13_piggyback
22911,260,356,A,v13_piggyback
23018,273,385,A,v13_piggyback
23152,97,1613,B,v13_piggyback
23152,97,84,A,v13_piggyback
24143,109,99,A,v13_piggyback
24352,287,417,A,v13_piggyback
24444,243,312,A,v13_piggyback
24446,367,647,A,v13_piggyback
24529,282,2503,B,v13_fetch
24655,70,55,A,v13_piggyback
24795,335,553,A,v13_piggyback
24851,365,647,A,v13_piggyback
24867,398,757,A,v13_piggyback
24885,439,935,A,v13_piggyback
25131,424,855,A,v13_piggyback
25227,246,324,A,v13_piggyback
25415,346,586,A,v13_piggyback
25612,398,757,A,v13_piggyback
25728,200,2099,B,v13_fetch
25728,179,2001,B,v13_piggyback
26145,351,604,A,v13_piggyback
26233,8,0,A,v13_piggyback
26529,351,604,A,v13_piggyback
26529,351,608,A,v13_piggyback
26607,8,0,A,v13_piggyback
26607,8,1240,B,v13_piggyback
26629,305,466,A,v13_piggyback
26629,305,476,A,v13_piggyback
26793,18,0,A,v13_piggyback
26877,452,1006,A,v13_piggyback
27020,330,539,A,v13_piggyback
27113,93,1594,B,v13_piggyback
27113,93,84,A,v13_piggyback
27132,380,3075,B,v13_piggyback
27132,380,699,A,v13_piggyback
27747,326,531,A,v13_piggyback
27764,139,135,A,v13_piggyback
27786,8,0,A,v13_piggyback
27815,339,565,A,v13_fetch
27815,339,567,A,v13_fetch
27961,36,1353,B,v13_piggyback
28364,267,2418,B,v13_piggyback
28607,305,476,A,v13_piggyback
28637,435,914,A,v13_piggyback
28762,466,1070,A,v13_piggyback
